onset	duration	sample	value
12.5195312500	n/a	12820	27
26.2529296875	n/a	26883	condition 64
39.2363281250	n/a	40178	condition 32
51.4189453125	n/a	52653	33
65.2187500000	n/a	66784	condition 26
78.6689453125	n/a	80557	condition 18
92.1523437500	n/a	94364	condition 26
104.6357421875	n/a	107147	condition 65
117.0683593750	n/a	119878	condition 65
130.8349609375	n/a	133975	condition 32
143.2187500000	n/a	146656	condition 19
156.8183593750	n/a	160582	33
169.5019531250	n/a	173570	condition 26
182.6845703125	n/a	187069	condition 19
195.2343750000	n/a	199920	condition 65
207.7509765625	n/a	212737	condition 64
220.2011718750	n/a	225486	condition 64
232.6679687500	n/a	238252	condition 18
245.8339843750	n/a	251734	condition 18
259.5175781250	n/a	265746	27
272.0175781250	n/a	278546	condition 32
284.2343750000	n/a	291056	condition 19
297.7675781250	n/a	304914	condition 64
310.8505859375	n/a	318311	condition 32
324.4335937500	n/a	332220	condition 65
337.0000000000	n/a	345088	condition 19
349.3330078125	n/a	357717	condition 26
362.3662109375	n/a	371063	33
375.6162109375	n/a	384631	27
388.7998046875	n/a	398131	condition 64
401.9658203125	n/a	411613	27
414.8828125000	n/a	424840	condition 18
428.2324218750	n/a	438510	33
440.3828125000	n/a	450952	condition 19
454.0654296875	n/a	464963	condition 26
467.5654296875	n/a	478787	condition 18
480.4326171875	n/a	491963	27
492.9150390625	n/a	504745	condition 32
505.5488281250	n/a	517682	33
519.3984375000	n/a	531864	condition 65
