onset	duration	sample	value
12.5341796875	n/a	12835	condition 65
25.3662109375	n/a	25975	condition 96
38.2167968750	n/a	39134	condition 32
51.7832031250	n/a	53026	33
65.4833984375	n/a	67055	condition 64
78.6992187500	n/a	80588	118
91.2324218750	n/a	93422	condition 64
105.4492187500	n/a	107980	97
118.1660156250	n/a	121002	97
130.7656250000	n/a	133904	condition 32
143.3994140625	n/a	146841	119
156.2158203125	n/a	159965	33
169.3984375000	n/a	173464	condition 64
181.5322265625	n/a	185889	119
195.3984375000	n/a	200088	97
207.6318359375	n/a	212615	condition 96
220.5478515625	n/a	225841	condition 96
232.9814453125	n/a	238573	118
245.5810546875	n/a	251475	118
258.5146484375	n/a	264719	condition 65
271.6982421875	n/a	278219	condition 32
285.1474609375	n/a	291991	119
297.9140625000	n/a	305064	condition 96
310.7470703125	n/a	318205	condition 32
322.9970703125	n/a	330749	97
335.6640625000	n/a	343720	119
347.9804687500	n/a	356332	condition 64
361.7304687500	n/a	370412	33
374.7968750000	n/a	383792	condition 65
387.8134765625	n/a	397121	condition 96
401.7636718750	n/a	411406	condition 65
414.0136718750	n/a	423950	118
428.1962890625	n/a	438473	33
441.2968750000	n/a	451888	119
453.7792968750	n/a	464670	condition 64
466.1132812500	n/a	477300	118
479.8623046875	n/a	491379	condition 65
493.3789062500	n/a	505220	condition 32
507.4628906250	n/a	519642	33
521.4619140625	n/a	533977	97
